Siriema HotSpot Analysis

Radius(m): 300
Number of Simulations: 1000
Confidence Limit(%): 95

Linear Distance(km)	Latitude		Longitude			HS			UCL			LCL
     6.947		-2.679742411		-44.297817794		  -0.220000		   0.780000		  -0.220000
     7.047		-2.680565165		-44.298182784		  -0.217000		   0.783000		  -0.217000
     7.147		-2.681387918		-44.298546554		  -0.217000		   0.783000		  -0.217000
     7.247		-2.682210672		-44.298910323		  -0.216000		   0.784000		  -0.216000
     7.347		-2.683033426		-44.299275314		  -0.125834		   0.456732		  -0.125834
     7.447		-2.683856180		-44.299640304		  -0.212000		   0.788000		  -0.212000
     7.547		-2.684678934		-44.300004073		  -0.215000		   0.785000		  -0.215000
     7.647		-2.685501688		-44.300369064		  -0.216996		   0.782985		  -0.216996
     7.747		-2.686324442		-44.300734054		  -0.121167		   0.461367		  -0.121167
     7.847		-2.687147196		-44.301097823		  -0.118834		   0.463686		  -0.118834
     7.947		-2.687967508		-44.301467697		  -0.109448		   0.421853		  -0.109448
     8.047		-2.688774393		-44.301864425		  -0.198930		   0.800717		  -0.198930
     8.147		-2.689577616		-44.302270919		  -0.109511		   0.472993		  -0.109511
     8.247		-2.690356424		-44.302723800		  -0.097749		   0.433495		  -0.097749
     8.347		-2.691130350		-44.303182784		  -0.165539		   0.692177		  -0.165539
     8.447		-2.691894510		-44.303658859		  -0.165573		   0.692320		  -0.165573
     8.547		-2.692639139		-44.304166671		  -0.186934		   0.812715		  -0.186934
     8.647		-2.693369120		-44.304694015		  -0.111042		   0.420259		  -0.111042
     8.747		-2.694079569		-44.305246993		  -0.180165		   0.677765		  -0.180165
     8.847		-2.694790018		-44.305799972		  -0.225971		   0.773901		  -0.225971
     8.947		-2.695500467		-44.306354171		  -0.138651		   0.443915		  -0.138651
     9.047		-2.696210916		-44.306908370		  -0.240000		   0.759999		  -0.240000
     9.147		-2.696921366		-44.307461349		  -0.240998		   0.758994		  -0.240998
     9.246		-2.697633036		-44.308014327		  -0.136320		   0.446244		  -0.136320
     9.346		-2.698342264		-44.308569747		  -0.203373		   0.654740		  -0.203373
     9.446		-2.699046610		-44.309132491		  -0.187925		   0.670182		  -0.187925
     9.546		-2.699750956		-44.309694015		  -0.208998		   0.790994		  -0.208998
     9.646		-2.700454081		-44.310256759		  -0.221000		   0.779000		  -0.221000
     9.746		-2.701158426		-44.310819503		  -0.223000		   0.777000		  -0.223000
     9.846		-2.701862772		-44.311381027		  -0.188785		   0.669328		  -0.188785
     9.946		-2.702565897		-44.311942550		  -0.221000		   0.779000		  -0.221000
    10.046		-2.703271463		-44.312505294		  -0.233000		   0.767000		  -0.233000
    10.146		-2.703974588		-44.313068038		  -0.204231		   0.653882		  -0.204231
    10.246		-2.704678934		-44.313629562		  -0.217000		   0.783000		  -0.217000
    10.346		-2.705383280		-44.314192306		  -0.209999		   0.789995		  -0.209999
    10.446		-2.706086405		-44.314755050		  -0.211999		   0.787995		  -0.211999
    10.546		-2.706790750		-44.315316573		  -0.117966		   0.413414		  -0.117966
    10.646		-2.707499979		-44.315870773		  -0.220999		   0.778995		  -0.220999
